id,pos_tags
1,Medicaid/NNP would/MD be/VB at/IN risk/NN of/IN being/VBG taken/VBN away/RB from/IN poor/JJ children/NNS ./.
2,BUDAPEST/NNP 1996-08-26/CD
3,Result/NN :/: England/NNP won/VBD by/IN five/CD wickets/NNS ./.
4,The/DT fifth-/JJ seeded/JJ Majoli/NNP joined/VBD Anke/NNP Huber/NNP (/-LRB- 5/CD )/-RRB- and/CC Magdalena/NNP Maleeva/NNP (/-LRB- 12/CD )/-RRB- on/IN the/DT sidelines/NNS ./.
5,"DBRS/NNP confirms/VBZ Power/NNP Corp/NNP ,/, Power/NNP Financial/NNP ratings/NNS ./."
6,+5/CD Sigeki/NNP Maruyama/NNP (/-LRB- Japan/NNP )/-RRB- through/IN 17/CD
7,Books/NNS close/VBP September/NNP 23-27/CD
8,They/PRP finally/RB went/VBD ahead/RB with/IN an/DT escort/NN from/IN the/DT ULIMO-J/NNP faction/NN ./.
9,"The/DT government/NN had/VBD been/VBN threatening/VBG to/TO fire/VB the/DT workers/NNS since/IN the/DT strike/NN began/VBD on/IN Tuesday/NNP ,/, saying/VBG it/PRP was/VBD illegal/JJ ./."
10,Australia/NNP foreign/JJ minister/NN arrives/VBZ in/IN China/NNP ./.
11,He/PRP was/VBD operated/VBN on/IN earlier/RBR in/IN the/DT week/NN but/CC failed/VBD to/TO recover/VB from/IN surgery/NN ./.
12,Leading/VBG overall/JJ placings/NNS after/IN three/CD stages/NNS :/:
13,The/DT suit/NN contends/VBZ America/NNP Online/NNP was/VBD misappropriating/VBG NBA/NNP property/NN by/IN providing/VBG a/DT site/NN containing/VBG continually/RB updated/VBN scores/NNS and/CC statistics/NNS of/IN NBA/NNP games/NNS in/IN progress/NN ./.
14,"D./NNP Fulton/NNP 64/CD ,/, N./NNP Llong/NNP 63/CD ,/, M./NNP Walker/NNP 59/CD )/-RRB- and/CC second/JJ innings/NN"
15,Premier/NNP league/NN
16,5/8/CD -/: Meluawati/NNP (/-LRB- Indonesia/NNP )/-RRB- beat/VBD Chan/NNP Chia/NNP Fong/NNP (/-LRB- Malaysia/NNP )/-RRB- 11-6/CD
17,In/IN Vaduz/NNP :/: Vaduz/NNP (/-LRB- Liechtenstein/NNP )/-RRB- 1/CD RAF/NNP Riga/NNP (/-LRB- Latvia/NNP )/-RRB- 1/CD (/-LRB- 0-0/CD )/-RRB-
18,``/`` Collectivisation/NN brought/VBD us/PRP a/DT lot/NN of/IN pain/NN ./.
19,"The/DT National/NNP Basketball/NNP Association/NNP has/VBZ sued/VBN America/NNP Online/NNP Inc/NNP ,/, alleging/VBG that/IN the/DT United/NNP States/NNPS '/POS No/NN 1/CD on-line/JJ service/NN is/VBZ delivering/VBG real-time/JJ information/NN about/IN league/NN games/NNS without/IN its/PRP$ permission/NN ,/, The/DT Wall/NNP Street/NNP Journal/NNP reported/VBD on/IN Thursday/NNP ./."
20,"The/DT team/NN will/MD go/VB one/CD to/TO tour/VB Pakistan/NNP ,/, playing/VBG two/CD tests/NNS and/CC three/CD one-day/JJ internationals/NNS ./."
21,"It/PRP said/VBD Australian/JJ Sister/NNP Maureen/NNP Carey/NNP ,/, 52/CD ,/, and/CC Italian/JJ Brother/NNP Raniero/NNP Iacomella/NNP ,/, 28/CD ,/, were/VBD held/VBN inside/IN the/DT compound/NN ./."
22,*/SYM Baxter/NNP International/NNP Inc/NNP has/VBZ reached/VBN an/DT agreement/NN to/TO acquire/VB Austria/NNP 's/POS Immuno/NNP International/NNP AG/NNP in/IN a/DT complex/JJ deal/NN valued/VBN at/IN $/SYM 715/CD miilion/NN ./.
23,7./CD Samson/NNP Kitur/NNP (/-LRB- Kenya/NNP )/-RRB- 45.34/CD
24,"``/`` Some/DT people/NNS say/VBP milk/NN is/VBZ bad/JJ for/IN you/PRP ,/, ``/`` Gore/NNP said/VBD as/IN Wisconsin/NNP delegates/NNS held/VBD aloft/RB a/DT plastic/JJ inflated/VBN cow/NN ./."
25,Attendance/NNP 11,000/CD ./.
26,"standings/NNS after/IN games/NNS played/VBN on/IN Saturday/NNP (/-LRB- tabulate/VB under/IN won/VBN ,/,"
27,(/-LRB- 1-0/CD )/-RRB-
28,BEIJING/NNP 1996-08-22/CD
29,DUBAI/NNP 1996-08-29/CD
30,"North/JJ Afghan/JJ highway/NN opening/NN put/VBN off/RP ,/, radio/NN says/VBZ ./."
31,6-3/CD
32,"A/DT 13-year-old/JJ Dallas/NNP boy/NN has/VBZ been/VBN charged/VBN with/IN murdering/VBG his/PRP$ adoptive/JJ mother/NN over/IN the/DT weekend/NN ,/, police/NNS said/VBD on/IN Monday/NNP ./."
33,-/: 7/CD )/-RRB- 6-1/CD 3-6/CD 6-4/CD
34,6./CD FTC/NNP 3/CD 2/CD -/: 1/CD 8/CD 7/CD 6/CD
35,"``/`` You/PRP only/RB have/VBP to/TO see/VB them/PRP in/IN action/NN at/IN protests/NNS ,/, ``/`` said/VBD David/NNP Harding/NNP ,/, spokesman/NN at/IN ARC/NNP ,/, Hanson/NNP 's/POS aggregates/NNS company/NN ./. ``/``"
36,"Arch/NNP Petroleum/NNP Inc/NNP said/VBD Wednesday/NNP an/DT exploratory/JJ well/NN in/IN Alberta/NNP 's/POS Morinville/NNP area/NN tested/VBD in/IN excess/NN of/IN 1,100/CD barrels/NNS daily/RB and/CC will/MD begin/VB production/NN immediately/RB ./."
37,The/DT Yankees/NNPS have/VBP lost/VBN 12/CD of/IN their/PRP$ last/JJ 19/CD games/NNS and/CC their/PRP$ lead/NN in/IN the/DT AL/NNP East/NNP over/IN Baltimore/NNP fell/VBD to/TO five/CD games/NNS ./.
38,Presidential/JJ officials/NNS were/VBD not/RB available/JJ to/TO comment/VB on/IN the/DT call/NN for/IN Iliescu/NNP 's/POS impeachment/NN ./.
39,South/JJ African/JJ provincial/JJ side/NN Boland/NNP said/VBD on/IN Thursday/NNP they/PRP had/VBD signed/VBN Leicestershire/NNP fast/JJ bowler/NN David/NNP Millns/NNP on/IN a/DT one/CD year/NN contract/NN ./.
40,Tekstilshchik/NNP Kamyshin/NNP 25/CD 3/CD 9/CD 13/CD 15/CD 30/CD 18/CD
41,Schalke/NNP 04/CD 4/CD 0/CD 3/CD 1/CD 5/CD 9/CD 3/CD
42,Hansa/NNP Rostock/NNP brought/VBD Cologne/NNP 's/POS 100/CD percent/NN record/NN to/TO an/DT end/NN with/IN a/DT 2-0/JJ win/NN over/IN the/DT Rhineside/NNP club/NN while/IN a/DT Sean/NNP Dundee/NNP hat-trick/NN inside/IN seven/CD minutes/NNS stood/VBD out/RB in/IN Karlsruhe/NNP 's/POS 4-0/JJ demolition/NN of/IN St/NNP Pauli/NNP ./.
43,MILWAUKEE/NNP AT/IN CLEVELAND/NNP
44,Metro/NNP slides/VBZ 3.3/CD pct/NN after/IN market/NN opens/VBZ ./.
45,"Succeeding/VBG him/PRP as/IN head/NN of/IN the/DT movement/NN ,/, Moada/NNP ,/, an/DT Arab/JJ nationalist/NN ,/, ousted/VBD liberals/NNS led/VBN by/IN MDS/NNP secretary-general/NN Mustapha/NNP Ben/NNP Jaafar/NNP in/IN 1993/CD ./."
46,Veracruz/NNP 3/CD 0/CD 1/CD 2/CD 2/CD 6/CD 1/CD
47,"He/PRP did/VBD not/RB give/VB a/DT specific/JJ time/NN for/IN the/DT ceasefire/NN but/CC said/VBD the/DT United/NNP States/NNPS looked/VBD forward/RB to/TO ``/`` immediate/JJ implementation/NN ``/`` ./."
48,six/CD seconds/NNS ./.
49,"We/PRP do/VBP not/RB want/VB a/DT war/NN ,/, God/NNP forbid/VB ./."
50,Hamburg/NNP 3/CD 2/CD 0/CD 1/CD 7/CD 3/CD 6/CD
51,DETROIT/NNP 47/CD 83/CD .362/CD 27/CD 1/2/CD
52,CALIFORNIA/NNP AT/IN BALTIMORE/NNP
53,"Nevertheless/RB I/PRP am/VBP satisfied/JJ that/IN the/DT overall/JJ benefits/NNS will/MD be/VB worthwile/JJ ,/, ``/`` Lord/NNP Goschen/NNP ,/, minister/NN for/IN aviation/NN ,/, said/VBD in/IN a/DT statement/NN ./."
54,Ulsan/NNP 1/CD 0/CD 1/CD 6/CD 6/CD 3/CD
55,It/PRP was/VBD the/DT first/JJ time/NN the/DT president/NN had/VBD been/VBN shown/VBN on/IN television/NN since/IN he/PRP was/VBD inaugurated/VBN for/IN a/DT second/JJ term/NN in/IN office/NN on/IN August/NNP 9/CD ./.
56,"Software/NN services/NNS company/NN Keane/NNP Inc/NNP said/VBD it/PRP had/VBD won/VBN a/DT year/NN 2000/CD compliance/NN contract/NN from/IN Life/NNP Insurance/NNP Co/NNP of/IN Georgia/NNP and/CC Southland/NNP Life/NNP Insurance/NNP Co/NNP ,/, both/DT part/NN of/IN The/DT Netherlands/NNP '/POS ING/NNP Group/NNP ./."
57,Sao/NNP Paulo/NNP 4/CD 3/CD 1/CD 0/CD 10/CD 5/CD 10/CD
58,Bystanders/NNS at/IN the/DT scene/NN said/VBD work/NN had/VBD begun/VBN on/IN the/DT building/NN in/IN 1991/CD and/CC it/PRP had/VBD yet/RB to/TO be/VB completed/VBN when/WRB the/DT Israeli/JJ police/NNS bulldozed/VBD it/PRP ./.
59,"December/NNP COMEX/NNP settled/VBD 0.35/CD cent/NN higher/JJR at/IN 90.20/CD cents/NNS ,/, traded/VBN 90.50/CD to/TO 89.40/CD cents/NNS ./."
60,"Tactics/NNS used/VBN by/IN some/DT underground/JJ groups/NNS including/VBG the/DT cryptic/JJ Berkshire/NNP Wood/NNP Elves/NNPS ,/, which/WDT distribute/VBP leaflets/NNS with/IN instructions/NNS on/IN home-made/JJ explosives/NNS ,/, are/VBP now/RB the/DT subject/NN of/IN a/DT police/NN investigation/NN ./."
61,"Noranda/NNP aluminum/NN ,/, U.S./NNP Midwest/NNP (/-LRB- effective/JJ date/NN :/: August/NNP 1/CD ,/, 1996/CD )/-RRB-"
62,(/-LRB- in/IN billions/NNS of/IN yen/NNS unless/IN specified/VBN )/-RRB-
63,That/DT allowed/VBD him/PRP to/TO be/VB moved/VBN to/TO a/DT semi-upright/JJ position/NN ./.
64,race/NN on/IN Sunday/NNP ./.
65,5/CD -/: Thomas/NNP Enqvist/NNP (/-LRB- Sweden/NNP )/-RRB- beat/VBD Petr/NNP Korda/NNP (/-LRB- Czech/NNP Republic/NNP )/-RRB-
66,Wisla/NNP Krakow/NNP 7/CD 2/CD 3/CD 2/CD 3/CD 4/CD 9/CD
67,Attendance/NN 7,000/CD
68,He/PRP took/VBD a/DT positive/JJ first/JJ step/NN with/IN his/PRP$ 6-3/CD 1-6/CD 6-1/CD 7-5/CD win/NN over/IN compatriot/NN Haas/NNP on/IN a/DT sun-baked/JJ Grandstand/NN court/NN ./.
69,12,000/CD ./.
70,This/DT was/VBD a/DT big/JJ game/NN ./.
71,Paul/NNP Haarhuis/NNP (/-LRB- Netherlands/NNP )/-RRB- beat/VBD Michael/NNP Joyce/NNP (/-LRB- U.S/NNP )/-RRB- 6-7/CD
72,Wolverhampton/NNP 3/CD 2/CD 1/CD 0/CD 5/CD 2/CD 7/CD
73,9/CD (/-LRB- 63/CD )/-RRB- Hawthorn/NNP 12/CD ./.
74,Fortuna/NNP Sittard/NNP 2/CD Heerenveen/NNP 4/CD
75,Carlton/NNP 13.18/CD (/-LRB- 96/CD )/-RRB- Footscray/NNP 9.12/CD (/-LRB- 66/CD )/-RRB-
76,Now/RB she/PRP feels/VBZ she/PRP is/VBZ in/IN the/DT swing/NN of/IN things/NNS ./.
77,Jon/NNP Preston/NNP ./.
78,(/-LRB- Guivarc'h/NNP 60th/JJ pen/NN ./.
79,MORAV.CHEMIC/NNP ./. ZAV/NNP ./.
80,Stefan/NNP Edberg/NNP produced/VBD some/DT of/IN his/PRP$ vintage/JJ best/JJS on/IN Tuesday/NNP to/TO extend/VB his/PRP$ grand/JJ run/NN at/IN the/DT Grand/NNP Slams/NNPS by/IN toppling/VBG Wimbledon/NNP champion/NN Richard/NNP Krajicek/NNP in/IN straight/JJ sets/NNS at/IN the/DT U.S./NNP Open/NNP ./.
81,"WEDNESDAY/NNP ,/, AUGUST/NNP 28TH/JJ SCHEDULE/NN"
82,"There/EX was/VBD also/RB concern/NN over/IN injuries/NNS to/TO Paul/NNP Gascoigne/NNP ,/, Les/NNP Ferdinand/NNP and/CC David/NNP Batty/NNP ./."
