id,text
1,Medicaid would be at risk of being taken away from poor children .
2,BUDAPEST 1996-08-26
3,Result : England won by five wickets .
4,The fifth- seeded Majoli joined Anke Huber ( 5 ) and Magdalena Maleeva ( 12 ) on the sidelines .
5,"DBRS confirms Power Corp , Power Financial ratings ."
6,+5 Sigeki Maruyama ( Japan ) through 17
7,Books close September 23-27
8,They finally went ahead with an escort from the ULIMO-J faction .
9,"The government had been threatening to fire the workers since the strike began on Tuesday , saying it was illegal ."
10,Australia foreign minister arrives in China .
11,He was operated on earlier in the week but failed to recover from surgery .
12,Leading overall placings after three stages :
13,The suit contends America Online was misappropriating NBA property by providing a site containing continually updated scores and statistics of NBA games in progress .
14,"D. Fulton 64 , N. Llong 63 , M. Walker 59 ) and second innings"
15,Premier league
16,5/8 - Meluawati ( Indonesia ) beat Chan Chia Fong ( Malaysia ) 11-6
17,In Vaduz : Vaduz ( Liechtenstein ) 1 RAF Riga ( Latvia ) 1 ( 0-0 )
18,""" Collectivisation brought us a lot of pain ."
19,"The National Basketball Association has sued America Online Inc , alleging that the United States ' No 1 on-line service is delivering real-time information about league games without its permission , The Wall Street Journal reported on Thursday ."
20,"The team will go one to tour Pakistan , playing two tests and three one-day internationals ."
21,"It said Australian Sister Maureen Carey , 52 , and Italian Brother Raniero Iacomella , 28 , were held inside the compound ."
22,* Baxter International Inc has reached an agreement to acquire Austria 's Immuno International AG in a complex deal valued at $ 715 miilion .
23,7. Samson Kitur ( Kenya ) 45.34
24,""" Some people say milk is bad for you , "" Gore said as Wisconsin delegates held aloft a plastic inflated cow ."
25,"Attendance 11,000 ."
26,"standings after games played on Saturday ( tabulate under won ,"
27,( 1-0 )
28,BEIJING 1996-08-22
29,DUBAI 1996-08-29
30,"North Afghan highway opening put off , radio says ."
31,6-3
32,"A 13-year-old Dallas boy has been charged with murdering his adoptive mother over the weekend , police said on Monday ."
33,- 7 ) 6-1 3-6 6-4
34,6. FTC 3 2 - 1 8 7 6
35,""" You only have to see them in action at protests , "" said David Harding , spokesman at ARC , Hanson 's aggregates company . """
36,"Arch Petroleum Inc said Wednesday an exploratory well in Alberta 's Morinville area tested in excess of 1,100 barrels daily and will begin production immediately ."
37,The Yankees have lost 12 of their last 19 games and their lead in the AL East over Baltimore fell to five games .
38,Presidential officials were not available to comment on the call for Iliescu 's impeachment .
39,South African provincial side Boland said on Thursday they had signed Leicestershire fast bowler David Millns on a one year contract .
