id,text
1,director peter kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage . 
2,what 's best about drumline is its energy 
3,"haphazard , and inconsequential romantic "
4,confident filmmaking and a pair of fascinating performances 
5,unfaithful 
6,"actory concoctions , defined by childlike dimness and a handful of quirks "
7,"for that sense of openness , the little surprises "
8,to seem as long as the two year affair which is its subject 
9,"the precedent of yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of broadway "
10,deceptions 
11,quickly becomes a tiresome cliché 
12,of the most highly-praised disappointments i 
13,"mostly believable , "
14,"has warmth , wit and interesting characters compassionately portrayed . "
15,", manipulative "
16,is a little tired 
17,"definitive , if disingenuous , feature "
18,utterly convincing 
19,", meandering "
20,"gentle , lapping rhythms "
21,host to some truly excellent sequences 
22,"much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen "
23,a less-compelling soap opera 
24,"has all of dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability "
25,still fun and enjoyable and 
26,dumb action movie 
27,been modeled on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 
28,"most frantic , virulent and foul-natured "
29,imposter makes a better short story than it does a film 
30,spent the past 20 minutes looking at your watch 
31,noisy and 
32,is not even half the interest 
33,bungle their way 
34,"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab "
35,defuses this provocative theme by submerging it in a hoary love triangle . 
36,frequently hilarious 
37,a bit anachronistic 
38,what makes it worth a recommendation 
39,shreve 's graceful dual narrative 
40,it 's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland . 
41,"( carvey 's ) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark "
42,becomes lifeless and 
43,"manipulative claptrap , "
44,feels the dimming of a certain ambition 
45,'s more repetition than creativity throughout the movie 
46,cheesy dialogue 
47,is tenderly observant of his characters 
48,tends to do a little fleeing of its own . 
49,the poor and 
50,"addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row "
51,... a hokey piece of nonsense that tries too hard to be emotional . 
52,what more can be expected from a college comedy that 's target audience has n't graduated from junior high school ? 
53,depressed about anything before watching this film 
54,clueless and inept 
55,is a must for genre fans . 
56,ice age wo n't drop your jaw 
57,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? 
58,it 's one of the worst of the entire franchise . 
59,", this is the first film in a long time that made me want to bolt the theater in the first 10 minutes . "
60,benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth 
61,actually manages to bring something new into the mix 
62,a deliciously nonsensical comedy about a city coming apart at its seams 
63,'s plenty to impress about e.t. 
64,the moral shrapnel and mental shellshock will linger long after this film has ended . 
65,seems the film should instead be called ` my husband is travis bickle ' 
