id,label
1,positive
2,negative
3,negative
4,positive
5,positive
6,positive
7,negative
8,positive
9,positive
10,negative
11,positive
12,negative
13,negative
14,negative
15,positive
16,negative
17,positive
18,positive
19,positive
20,positive
21,positive
22,negative
23,positive
24,positive
25,negative
26,negative
27,positive
28,negative
29,positive
30,negative
31,positive
32,negative
33,positive
34,positive
35,negative
36,positive
37,negative
38,positive
39,positive
40,positive
41,positive
42,positive
43,positive
44,negative
45,negative
46,positive
47,positive
48,positive
49,positive
50,positive
51,negative
52,negative
53,positive
54,negative
55,negative
56,negative
57,positive
58,negative
59,positive
60,negative
61,negative
62,positive
63,positive
64,negative
65,negative
66,positive
67,negative
68,positive
69,positive
70,negative
71,negative
72,positive
73,negative
74,positive
75,positive
76,positive
77,negative
78,negative
79,negative
80,negative
81,negative
82,negative
83,negative
84,positive
85,negative
86,positive
87,positive
88,negative
89,positive
90,positive
91,positive
92,positive
93,positive
94,positive
95,negative
96,negative
97,positive
98,negative
99,positive
100,negative
101,negative
102,positive
103,negative
104,positive
105,positive
106,negative
107,negative
108,negative
109,negative
110,negative
111,positive
112,positive
113,negative
114,positive
115,negative
116,positive
117,negative
118,positive
119,negative
120,positive
121,negative
122,negative
123,negative
124,negative
125,positive
126,positive
127,negative
128,positive
129,negative
130,negative
131,negative
132,positive
133,negative
134,positive
135,positive
136,positive
137,negative
138,negative
139,positive
140,negative
141,positive
142,positive
143,positive
144,positive
145,negative
146,negative
147,positive
148,negative
149,negative
150,positive
151,positive
152,negative
153,negative
154,positive
155,positive
156,negative
157,negative
158,negative
159,negative
160,negative
161,negative
162,negative
163,positive
164,positive
165,negative
166,positive
167,positive
168,positive
169,negative
170,negative
171,negative
172,negative
173,negative
174,negative
175,positive
176,positive
177,negative
178,negative
179,negative
180,negative
181,positive
182,positive
183,negative
184,positive
185,positive
186,positive
187,positive
188,negative
189,negative
190,negative
191,positive
192,negative
193,positive
194,positive
195,negative
196,negative
197,positive
198,positive
199,negative
200,negative
201,negative
202,negative
203,positive
204,negative
205,positive
206,positive
207,positive
208,negative
209,negative
210,positive
211,positive
212,negative
213,positive
214,negative
215,positive
216,positive
217,negative
218,positive
219,negative
220,negative
221,positive
222,negative
223,negative
224,negative
225,negative
226,positive
227,positive
228,negative
229,negative
230,negative
231,positive
232,positive
233,negative
234,negative
235,negative
236,negative
237,positive
238,negative
239,positive
240,positive
241,positive
242,positive
243,positive
244,positive
245,negative
246,negative
247,positive
248,negative
249,negative
250,negative
251,negative
252,negative
253,positive
254,positive
255,negative
256,negative
257,positive
258,positive
259,negative
260,negative
261,negative
262,positive
263,negative
264,negative
265,positive
266,negative
267,positive
268,positive
269,positive
270,positive
271,negative
272,positive
273,positive
274,negative
275,negative
276,negative
277,positive
278,negative
279,negative
280,positive
281,negative
282,negative
283,negative
284,positive
285,negative
286,negative
287,positive
288,positive
289,positive
290,negative
291,positive
292,negative
293,positive
294,negative
295,positive
296,negative
297,negative
298,positive
299,negative
300,positive
301,negative
302,positive
303,positive
304,positive
305,positive
306,positive
307,positive
308,negative
309,positive
310,positive
311,negative
312,negative
313,negative
314,negative
315,positive
316,negative
317,negative
318,positive
319,positive
320,positive
321,positive
322,negative
323,negative
324,negative
325,positive
326,positive
327,negative
328,positive
329,negative
330,positive
331,negative
332,positive
333,positive
334,negative
335,positive
336,positive
337,positive
338,positive
339,negative
340,positive
341,positive
342,negative
343,positive
344,negative
345,positive
346,positive
347,positive
348,positive
349,positive
350,positive
351,positive
352,positive
353,negative
354,negative
355,positive
356,positive
357,positive
358,positive
359,positive
360,positive
361,negative
362,positive
363,positive
364,positive
365,negative
366,positive
367,negative
368,positive
369,negative
370,negative
371,positive
372,positive
373,positive
374,negative
375,positive
376,negative
377,negative
378,positive
379,positive
380,negative
381,positive
382,negative
383,negative
384,positive
385,positive
386,negative
387,positive
388,positive
389,positive
390,positive
391,positive
392,positive
393,positive
394,negative
395,negative
396,negative
397,positive
398,negative
399,positive
400,positive
401,positive
402,negative
403,negative
404,positive
405,positive
406,positive
407,negative
408,negative
409,positive
410,positive
411,negative
412,positive
413,positive
414,negative
415,negative
416,positive
417,negative
418,positive
419,positive
420,positive
421,positive
422,positive
423,positive
424,negative
425,positive
426,positive
427,negative
428,negative
429,positive
430,positive
431,positive
432,positive
433,negative
434,negative
435,negative
436,positive
437,positive
438,positive
439,negative
440,negative
441,positive
442,negative
443,negative
444,positive
445,positive
446,negative
447,negative
448,negative
449,negative
450,negative
451,negative
452,positive
453,positive
454,positive
455,negative
456,negative
457,positive
458,negative
459,negative
460,positive
461,negative
462,negative
463,negative
464,positive
465,positive
466,positive
467,negative
468,negative
469,negative
470,negative
471,negative
472,positive
473,positive
474,positive
475,positive
476,positive
477,positive
478,positive
479,positive
480,positive
481,positive
482,negative
483,positive
484,positive
485,negative
486,negative
487,positive
488,positive
489,positive
490,positive
491,positive
492,positive
493,negative
494,positive
495,positive
496,positive
497,negative
498,negative
499,positive
500,positive
501,negative
502,positive
503,positive
504,negative
505,negative
506,positive
507,positive
508,negative
509,positive
510,positive
511,positive
512,negative
513,positive
514,positive
515,negative
516,negative
517,negative
518,positive
519,negative
520,positive
521,negative
522,positive
523,negative
524,negative
525,positive
526,positive
527,positive
528,negative
529,negative
530,negative
531,negative
532,positive
533,positive
534,negative
535,negative
536,positive
537,positive
538,positive
539,positive
540,positive
541,positive
542,positive
543,positive
544,positive
545,positive
546,positive
547,positive
548,positive
549,negative
550,negative
551,positive
552,positive
553,positive
554,negative
555,positive
556,negative
557,negative
558,positive
559,positive
560,positive
561,negative
562,negative
563,positive
564,positive
565,negative
566,negative
567,negative
568,positive
569,negative
570,positive
571,negative
572,positive
573,positive
574,positive
575,negative
576,positive
577,positive
578,positive
579,negative
580,positive
581,positive
582,positive
583,negative
584,negative
585,negative
586,negative
587,negative
588,positive
589,negative
590,negative
591,negative
592,positive
593,negative
594,negative
595,negative
596,positive
597,negative
598,positive
599,positive
600,negative
601,negative
602,positive
603,negative
604,negative
605,positive
606,positive
607,negative
608,positive
609,negative
610,positive
611,positive
612,positive
613,negative
614,positive
615,positive
616,negative
617,positive
618,negative
619,negative
620,positive
621,positive
622,positive
623,positive
624,negative
625,positive
626,positive
627,positive
628,positive
629,positive
630,positive
631,negative
632,negative
633,positive
634,positive
635,positive
636,negative
637,positive
638,positive
639,negative
640,negative
641,positive
642,negative
643,positive
644,positive
645,positive
646,positive
647,negative
648,positive
649,negative
650,negative
651,positive
652,negative
653,positive
