id,text,label,score
1,director peter kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage . ,positive,0.25
2,what 's best about drumline is its energy ,positive,0.743
3,"haphazard , and inconsequential romantic ",positive,0.4019
4,confident filmmaking and a pair of fascinating performances ,positive,0.7717
5,unfaithful ,positive,0.0
6,"actory concoctions , defined by childlike dimness and a handful of quirks ",positive,0.0
7,"for that sense of openness , the little surprises ",positive,0.4601
8,to seem as long as the two year affair which is its subject ,positive,0.0
9,"the precedent of yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of broadway ",positive,0.6124
10,deceptions ,positive,0.0
11,quickly becomes a tiresome cliché ,positive,0.0
12,of the most highly-praised disappointments i ,negative,-0.507
13,"mostly believable , ",positive,0.0
14,"has warmth , wit and interesting characters compassionately portrayed . ",positive,0.8126
15,", manipulative ",positive,0.0
16,is a little tired ,negative,-0.3832
17,"definitive , if disingenuous , feature ",positive,0.0
18,utterly convincing ,positive,0.4576
19,", meandering ",positive,0.0
20,"gentle , lapping rhythms ",positive,0.4404
21,host to some truly excellent sequences ,positive,0.765
22,"much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen ",negative,-0.0258
23,a less-compelling soap opera ,positive,0.0
24,"has all of dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability ",negative,-0.6996
25,still fun and enjoyable and ,positive,0.7351
26,dumb action movie ,negative,-0.5106
27,been modeled on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,negative,-0.6249
28,"most frantic , virulent and foul-natured ",negative,-0.8004
29,imposter makes a better short story than it does a film ,positive,0.4404
30,spent the past 20 minutes looking at your watch ,positive,0.0
31,noisy and ,negative,-0.1779
32,is not even half the interest ,positive,0.4588
33,bungle their way ,positive,0.0
34,"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab ",positive,0.0
35,defuses this provocative theme by submerging it in a hoary love triangle . ,positive,0.6369
36,frequently hilarious ,positive,0.4019
37,a bit anachronistic ,positive,0.0
38,what makes it worth a recommendation ,positive,0.2263
39,shreve 's graceful dual narrative ,positive,0.4588
40,it 's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland . ,positive,0.0
41,"( carvey 's ) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark ",negative,-0.0516
42,becomes lifeless and ,positive,0.0
43,"manipulative claptrap , ",positive,0.0
44,feels the dimming of a certain ambition ,positive,0.2732
45,'s more repetition than creativity throughout the movie ,positive,0.4336
46,cheesy dialogue ,positive,0.0
47,is tenderly observant of his characters ,positive,0.4215
48,tends to do a little fleeing of its own . ,positive,0.0
49,the poor and ,negative,-0.4767
50,"addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row ",positive,0.2023
51,... a hokey piece of nonsense that tries too hard to be emotional . ,negative,-0.3612
52,what more can be expected from a college comedy that 's target audience has n't graduated from junior high school ? ,positive,0.3612
53,depressed about anything before watching this film ,negative,-0.5106
54,clueless and inept ,negative,-0.3612
55,is a must for genre fans . ,positive,0.0
56,ice age wo n't drop your jaw ,positive,0.2057
