id,text,pos_tags
1,Medicaid would be at risk of being taken away from poor children .,Medicaid/NNP would/MD be/VB at/IN risk/NN of/IN being/VBG taken/VBN away/RB from/IN poor/JJ children/NNS ./.
2,BUDAPEST 1996-08-26,BUDAPEST/IN 1996-08-26/JJ
3,Result : England won by five wickets .,Result/NN :/: England/NNP won/VBD by/IN five/CD wickets/NNS ./.
4,The fifth- seeded Majoli joined Anke Huber ( 5 ) and Magdalena Maleeva ( 12 ) on the sidelines .,The/DT fifth-/NN seeded/VBD Majoli/NNP joined/VBD Anke/NNP Huber/NNP (/( 5/CD )/) and/CC Magdalena/NNP Maleeva/NNP (/( 12/CD )/) on/IN the/DT sidelines/NNS ./.
5,"DBRS confirms Power Corp , Power Financial ratings .","DBRS/NNP confirms/VBZ Power/NNP Corp/NNP ,/, Power/NNP Financial/NNP ratings/NNS ./."
6,+5 Sigeki Maruyama ( Japan ) through 17,+5/JJ Sigeki/NNP Maruyama/NNP (/( Japan/NNP )/) through/IN 17/CD
7,Books close September 23-27,Books/NNP close/JJ September/NNP 23-27/JJ
8,They finally went ahead with an escort from the ULIMO-J faction .,They/PRP finally/RB went/VBD ahead/RB with/IN an/DT escort/NN from/IN the/DT ULIMO-J/JJ faction/NN ./.
9,"The government had been threatening to fire the workers since the strike began on Tuesday , saying it was illegal .","The/DT government/NN had/VBD been/VBN threatening/VBG to/TO fire/VB the/DT workers/NNS since/IN the/DT strike/NN began/VBD on/IN Tuesday/NNP ,/, saying/VBG it/PRP was/VBD illegal/JJ ./."
10,Australia foreign minister arrives in China .,Australia/NNP foreign/JJ minister/NN arrives/NNS in/IN China/NNP ./.
11,He was operated on earlier in the week but failed to recover from surgery .,He/PRP was/VBD operated/VBN on/IN earlier/RBR in/IN the/DT week/NN but/CC failed/VBD to/TO recover/VB from/IN surgery/NN ./.
12,Leading overall placings after three stages :,Leading/VBG overall/JJ placings/NNS after/IN three/CD stages/NNS :/:
13,The suit contends America Online was misappropriating NBA property by providing a site containing continually updated scores and statistics of NBA games in progress .,The/DT suit/NN contends/VBZ America/NNP Online/NNP was/VBD misappropriating/VBG NBA/NNP property/NN by/IN providing/VBG a/DT site/NN containing/VBG continually/RB updated/VBN scores/NNS and/CC statistics/NNS of/IN NBA/NNP games/NNS in/IN progress/NN ./.
14,"D. Fulton 64 , N. Llong 63 , M. Walker 59 ) and second innings","D./NNP Fulton/NNP 64/CD ,/, N./NNP Llong/NNP 63/CD ,/, M./NNP Walker/NNP 59/CD )/) and/CC second/JJ innings/NNS"
15,Premier league,Premier/NNP league/NN
16,5/8 - Meluawati ( Indonesia ) beat Chan Chia Fong ( Malaysia ) 11-6,5/8/CD -/: Meluawati/NNP (/( Indonesia/NNP )/) beat/NN Chan/NNP Chia/NNP Fong/NNP (/( Malaysia/NNP )/) 11-6/JJ
17,In Vaduz : Vaduz ( Liechtenstein ) 1 RAF Riga ( Latvia ) 1 ( 0-0 ),In/IN Vaduz/NNP :/: Vaduz/NNP (/( Liechtenstein/NNP )/) 1/CD RAF/NNP Riga/NNP (/( Latvia/NNP )/) 1/CD (/( 0-0/CD )/)
18,""" Collectivisation brought us a lot of pain .",``/`` Collectivisation/NN brought/VBD us/PRP a/DT lot/NN of/IN pain/NN ./.
19,"The National Basketball Association has sued America Online Inc , alleging that the United States ' No 1 on-line service is delivering real-time information about league games without its permission , The Wall Street Journal reported on Thursday .","The/DT National/NNP Basketball/NNP Association/NNP has/VBZ sued/VBN America/NNP Online/NNP Inc/NNP ,/, alleging/VBG that/IN the/DT United/NNP States/NNPS '/POS No/DT 1/CD on-line/JJ service/NN is/VBZ delivering/VBG real-time/JJ information/NN about/IN league/NN games/NNS without/IN its/PRP$ permission/NN ,/, The/DT Wall/NNP Street/NNP Journal/NNP reported/VBD on/IN Thursday/NNP ./."
20,"The team will go one to tour Pakistan , playing two tests and three one-day internationals .","The/DT team/NN will/MD go/VB one/CD to/TO tour/VB Pakistan/NNP ,/, playing/VBG two/CD tests/NNS and/CC three/CD one-day/JJ internationals/NNS ./."
21,"It said Australian Sister Maureen Carey , 52 , and Italian Brother Raniero Iacomella , 28 , were held inside the compound .","It/PRP said/VBD Australian/JJ Sister/NNP Maureen/NNP Carey/NNP ,/, 52/CD ,/, and/CC Italian/JJ Brother/NNP Raniero/NNP Iacomella/NNP ,/, 28/CD ,/, were/VBD held/VBN inside/IN the/DT compound/NN ./."
22,* Baxter International Inc has reached an agreement to acquire Austria 's Immuno International AG in a complex deal valued at $ 715 miilion .,*/NN Baxter/NNP International/NNP Inc/NNP has/VBZ reached/VBN an/DT agreement/NN to/TO acquire/VB Austria/NNP 's/POS Immuno/NNP International/NNP AG/NNP in/IN a/DT complex/JJ deal/NN valued/VBN at/IN $/$ 715/CD miilion/NN ./.
23,7. Samson Kitur ( Kenya ) 45.34,7/CD ./. Samson/NNP Kitur/NNP (/( Kenya/NNP )/) 45.34/CD
24,""" Some people say milk is bad for you , "" Gore said as Wisconsin delegates held aloft a plastic inflated cow .","``/`` Some/DT people/NNS say/VBP milk/NN is/VBZ bad/JJ for/IN you/PRP ,/, ``/`` Gore/NNP said/VBD as/IN Wisconsin/NNP delegates/VBZ held/VBD aloft/RB a/DT plastic/NN inflated/JJ cow/NN ./."
25,"Attendance 11,000 .","Attendance/RB 11,000/CD ./."
26,"standings after games played on Saturday ( tabulate under won ,","standings/NNS after/IN games/NNS played/VBD on/IN Saturday/NNP (/( tabulate/VB under/IN won/NN ,/,"
27,( 1-0 ),(/( 1-0/CD )/)
28,BEIJING 1996-08-22,BEIJING/NNP 1996-08-22/JJ
29,DUBAI 1996-08-29,DUBAI/NNP 1996-08-29/JJ
30,"North Afghan highway opening put off , radio says .","North/NNP Afghan/NNP highway/NN opening/VBG put/VBD off/RP ,/, radio/NN says/VBZ ./."
31,6-3,6-3/JJ
32,"A 13-year-old Dallas boy has been charged with murdering his adoptive mother over the weekend , police said on Monday .","A/DT 13-year-old/JJ Dallas/NNP boy/NN has/VBZ been/VBN charged/VBN with/IN murdering/VBG his/PRP$ adoptive/JJ mother/NN over/IN the/DT weekend/NN ,/, police/NN said/VBD on/IN Monday/NNP ./."
33,- 7 ) 6-1 3-6 6-4,-/: 7/CD )/) 6-1/JJ 3-6/JJ 6-4/JJ
34,6. FTC 3 2 - 1 8 7 6,6/CD ./. FTC/NNP 3/CD 2/CD -/: 1/CD 8/CD 7/CD 6/CD
35,""" You only have to see them in action at protests , "" said David Harding , spokesman at ARC , Hanson 's aggregates company . ""","``/`` You/PRP only/RB have/VBP to/TO see/VB them/PRP in/IN action/NN at/IN protests/NNS ,/, ``/`` said/VBD David/NNP Harding/NNP ,/, spokesman/NN at/IN ARC/NNP ,/, Hanson/NNP 's/POS aggregates/NNS company/NN ./. ``/``"
36,"Arch Petroleum Inc said Wednesday an exploratory well in Alberta 's Morinville area tested in excess of 1,100 barrels daily and will begin production immediately .","Arch/NNP Petroleum/NNP Inc/NNP said/VBD Wednesday/NNP an/DT exploratory/NN well/RB in/IN Alberta/NNP 's/POS Morinville/NNP area/NN tested/VBD in/IN excess/NN of/IN 1,100/CD barrels/NNS daily/JJ and/CC will/MD begin/VB production/NN immediately/RB ./."
37,The Yankees have lost 12 of their last 19 games and their lead in the AL East over Baltimore fell to five games .,The/DT Yankees/NNS have/VBP lost/VBN 12/CD of/IN their/PRP$ last/JJ 19/CD games/NNS and/CC their/PRP$ lead/NN in/IN the/DT AL/NNP East/NNP over/IN Baltimore/NNP fell/VBD to/TO five/CD games/NNS ./.
38,Presidential officials were not available to comment on the call for Iliescu 's impeachment .,Presidential/JJ officials/NNS were/VBD not/RB available/JJ to/TO comment/VB on/IN the/DT call/NN for/IN Iliescu/NNP 's/POS impeachment/NN ./.
39,South African provincial side Boland said on Thursday they had signed Leicestershire fast bowler David Millns on a one year contract .,South/JJ African/JJ provincial/JJ side/NN Boland/NNP said/VBD on/IN Thursday/NNP they/PRP had/VBD signed/VBN Leicestershire/NNP fast/RB bowler/NN David/NNP Millns/NNP on/IN a/DT one/CD year/NN contract/NN ./.
40,Tekstilshchik Kamyshin 25 3 9 13 15 30 18,Tekstilshchik/NNP Kamyshin/NNP 25/CD 3/CD 9/CD 13/CD 15/CD 30/CD 18/CD
41,Schalke 04 4 0 3 1 5 9 3,Schalke/NNP 04/CD 4/CD 0/CD 3/CD 1/CD 5/CD 9/CD 3/CD
42,Hansa Rostock brought Cologne 's 100 percent record to an end with a 2-0 win over the Rhineside club while a Sean Dundee hat-trick inside seven minutes stood out in Karlsruhe 's 4-0 demolition of St Pauli .,Hansa/NNP Rostock/NNP brought/VBD Cologne/NNP 's/POS 100/CD percent/NN record/NN to/TO an/DT end/NN with/IN a/DT 2-0/JJ win/NN over/IN the/DT Rhineside/NNP club/NN while/IN a/DT Sean/JJ Dundee/NNP hat-trick/JJ inside/RB seven/CD minutes/NNS stood/VBD out/RP in/IN Karlsruhe/NNP 's/POS 4-0/JJ demolition/NN of/IN St/NNP Pauli/NNP ./.
43,MILWAUKEE AT CLEVELAND,MILWAUKEE/NNP AT/NNP CLEVELAND/NNP
44,Metro slides 3.3 pct after market opens .,Metro/NNP slides/VBZ 3.3/CD pct/NN after/IN market/NN opens/VBZ ./.
45,"Succeeding him as head of the movement , Moada , an Arab nationalist , ousted liberals led by MDS secretary-general Mustapha Ben Jaafar in 1993 .","Succeeding/VBG him/PRP as/IN head/NN of/IN the/DT movement/NN ,/, Moada/NNP ,/, an/DT Arab/JJ nationalist/NN ,/, ousted/VBN liberals/NNS led/VBN by/IN MDS/NNP secretary-general/JJ Mustapha/NNP Ben/NNP Jaafar/NNP in/IN 1993/CD ./."
46,Veracruz 3 0 1 2 2 6 1,Veracruz/NNP 3/CD 0/CD 1/CD 2/CD 2/CD 6/CD 1/CD
47,"He did not give a specific time for the ceasefire but said the United States looked forward to "" immediate implementation "" .",He/PRP did/VBD not/RB give/VB a/DT specific/JJ time/NN for/IN the/DT ceasefire/NN but/CC said/VBD the/DT United/NNP States/NNPS looked/VBD forward/RB to/TO ``/`` immediate/VB implementation/NN ``/`` ./.
48,six seconds .,six/CD seconds/NNS ./.
49,"We do not want a war , God forbid .","We/PRP do/VBP not/RB want/VB a/DT war/NN ,/, God/NNP forbid/NN ./."
