id,entities
1,Medicaid (MISC)
2,BUDAPEST (LOC)
3,England (LOC)
4,Majoli (PER); Anke Huber (PER); Magdalena Maleeva (PER)
5,DBRS (ORG); Power Corp (ORG); Power Financial (ORG)
6,Sigeki Maruyama (PER); Japan (LOC)
7,NONE
8,ULIMO-J (ORG)
9,NONE
10,Australia (LOC); China (LOC)
11,NONE
12,NONE
13,America Online (ORG); NBA (ORG); NBA (ORG)
14,D. Fulton (PER); N. Llong (PER); M. Walker (PER)
15,Premier league (MISC)
16,Meluawati (PER); Indonesia (LOC); Chan Chia Fong (PER); Malaysia (LOC)
17,Vaduz (LOC); Vaduz (ORG); Liechtenstein (LOC); RAF Riga (ORG); Latvia (LOC)
18,NONE
19,National Basketball Association (ORG); America Online Inc (ORG); United States (LOC); Wall Street Journal (ORG)
20,Pakistan (LOC)
21,Australian (MISC); Maureen Carey (PER); Italian (MISC); Raniero Iacomella (PER)
22,Baxter International Inc (ORG); Austria (LOC); Immuno International AG (ORG)
23,Samson Kitur (PER); Kenya (LOC)
24,Gore (PER); Wisconsin (LOC)
25,NONE
26,NONE
27,NONE
28,BEIJING (LOC)
29,DUBAI (LOC)
30,North Afghan (MISC)
31,NONE
32,Dallas (LOC)
33,NONE
34,FTC (ORG)
35,David Harding (PER); ARC (ORG); Hanson (ORG)
36,Arch Petroleum Inc (ORG); Alberta (LOC); Morinville (LOC)
37,Yankees (ORG); AL East (MISC); Baltimore (ORG)
38,Iliescu (PER)
39,South African (MISC); Boland (ORG); Leicestershire (ORG); David Millns (PER)
40,Tekstilshchik Kamyshin (ORG)
41,Schalke 04 (ORG)
42,Hansa Rostock (ORG); Cologne (ORG); Rhineside (LOC); Sean Dundee (PER); Karlsruhe (ORG); St Pauli (ORG)
43,MILWAUKEE (ORG); CLEVELAND (ORG)
44,Metro (ORG)
45,Moada (PER); Arab (MISC); MDS (ORG); Mustapha Ben Jaafar (PER)
46,Veracruz (ORG)
47,United States (LOC)
48,NONE
49,God (PER)
50,Hamburg (ORG)
51,DETROIT (ORG)
52,CALIFORNIA (ORG); BALTIMORE (ORG)
53,Goschen (PER)
54,Ulsan (ORG)
55,NONE
56,Keane Inc (ORG); Life Insurance Co of Georgia (ORG); Southland Life Insurance Co (ORG); Netherlands (LOC); ING Group (ORG)
57,Sao Paulo (ORG)
58,Israeli (MISC)
59,COMEX (ORG)
60,Berkshire Wood Elves (ORG)
61,Noranda aluminum (ORG); U.S. (LOC); Midwest (LOC)
62,yen (MISC)
63,NONE
64,NONE
65,Thomas Enqvist (PER); Sweden (LOC); Petr Korda (PER); Czech Republic (LOC)
66,Wisla Krakow (ORG)
67,NONE
68,Haas (PER); Grandstand (LOC)
69,NONE
70,NONE
71,Paul Haarhuis (PER); Netherlands (LOC); Michael Joyce (PER); U.S (LOC)
72,Wolverhampton (ORG)
73,Hawthorn (ORG)
74,Fortuna Sittard (ORG); Heerenveen (ORG)
75,Carlton (ORG); Footscray (ORG)
76,NONE
77,Jon Preston (PER)
78,Guivarc'h (PER)
79,MORAV.CHEMIC. ZAV (ORG)
80,Stefan Edberg (PER); Wimbledon (MISC); Richard Krajicek (PER); U.S. Open (MISC)
81,NONE
82,Paul Gascoigne (PER); Les Ferdinand (PER); David Batty (PER); England (LOC)
83,Europe (LOC); Naish (PER)
84,Palmeiras (ORG)
85,U.S. Food and Drug Administration (ORG); Orphan Drug law (MISC); Biogen (ORG); Avonex (MISC)
86,Independence Day (MISC); News Corp (ORG)
87,Guadalajara (ORG); America (ORG)
88,Dimitris Kontogiannis (PER); Athens Newsroom (ORG)
89,Pinas (PER); Jungle Command (ORG); Brunswijk (PER); Pinas (PER)
90,Wall Street (LOC); Robert Rubin (PER); Treasury (ORG); Clinton (PER)
91,Dimitris Kontogiannis (PER); Athens Newsroom (ORG)
92,NONE
93,Shanghai-Ek Chor (ORG); Shanghai Automobile Corporation (ORG); Ek Chor China Motorcycle (ORG)
94,NONE
95,MOODY (ORG)
96,Matahari (ORG)
97,NONE
98,TORONTO (LOC)
99,PSG (ORG); David Ginola (PER); English (MISC); Newcastle (ORG); Scotland (LOC)
100,American League (MISC)
101,CALIFORNIA (ORG)
102,MaliVai Washington (PER); U.S. (LOC); Karim Alami (PER); Morocco (LOC)
103,S. African (MISC)
104,NONE
105,Roger Grimwade (PER); Cyprus (LOC)
106,Wilson (PER)
107,NONE
108,SPA-FRANCORCHAMPS (LOC); Belgium (LOC)
109,Russian (MISC); Chechen (MISC); Grozny (LOC); Russia (LOC); Interfax (ORG)
110,GDP (MISC)
111,Toure (PER)
112,WESTERN DIVISION (MISC)
113,Admira (ORG); Wacker (ORG)
114,SEOUL (LOC)
115,NONE
116,French (MISC); Marcel Desailly (PER); Argentine (MISC); Boca Juniors (ORG); Fiorentina (ORG); Milan (ORG); Oscar Tabarez (PER); Batistuta (PER)
117,Ivan Odnosum (PER)
118,BONN (LOC)
119,Egypt (LOC); Morocco (LOC); S. Korea (LOC); Yemen (LOC); Pakistan (LOC); Mexico (LOC); China (LOC)
120,ISS Inc (ORG); Aaxis (ORG)
121,NONE
122,Israeli (MISC); Arafat (PER)
123,NONE
124,Lecce (ORG); Genoa (ORG)
125,NONE
126,POLAND (LOC); CYPRUS (LOC)
127,South Sydney (ORG)
128,Wayne Ferreira (PER); South Africa (LOC); Marcelo Rios (PER); Chile (LOC); MaliVai Washington (PER); United States (LOC); American (MISC); Todd Martin (PER)
129,Pakistan (LOC)
130,Dutch (MISC); Koninklijke PTT Nederland NV (ORG); Dutch PTT (ORG)
131,U.S. OPEN (MISC)
132,Toluca (ORG)
133,Auckland (ORG)
134,Promodes (ORG)
135,HONG KONG (LOC)
136,Yankees (ORG); Paul O'Neill (PER); Seattle (ORG); John Marzano (PER); O'Neill (PER)
137,In Home Health (ORG)
138,NONE
139,Netanyahu (PER)
140,Scott McGrory (PER); Stephen Pate (PER); Australia (LOC)
141,NONE
142,NATO (ORG); Serbs (MISC); Serb (MISC); U.N. (ORG); Zvornik (LOC); Mahala (LOC)
143,1860 Munich (ORG); Schwabl (PER); Borussia Dortmund (ORG); Zorc (PER)
144,Jan Buettner (PER); AOL Germany (ORG); AdOn (ORG); Europe (LOC)
145,NONE
146,Cleveland (ORG)
147,England (LOC); Will Carling (PER); Jeremy Guscott (PER); Rory Underwood (PER); Dean Richards (PER); England (LOC)
148,Russian (MISC); Chechnya (LOC); Russian (MISC); Alexander Lebed (PER)
