id,topic
1,Business
2,Sports
3,Business
4,Business
5,Business
6,World
7,Business
8,Sci/Tech
9,Sports
10,World
11,Sports
12,Sci/Tech
13,World
14,Business
15,Sports
16,World
17,World
18,Business
19,Sci/Tech
20,Business
21,Sports
22,Business
23,World
24,Business
25,Sports
26,Sci/Tech
27,Sci/Tech
28,World
29,World
30,Sports
31,World
32,Sports
33,Business
34,Sci/Tech
35,Business
36,Sports
37,Sci/Tech
38,Business
39,Business
40,Sports
41,Sports
42,World
43,Sports
44,Business
45,World
46,Sports
47,Business
48,Sports
49,Sports
50,Sci/Tech
51,Sci/Tech
52,World
53,World
54,Sports
55,Sports
56,Sports
57,Sci/Tech
58,Business
59,Sports
60,Business
61,Business
62,World
63,Sci/Tech
64,Sci/Tech
65,World
66,Sports
67,Business
68,World
69,World
70,Sports
71,Business
72,World
73,World
74,Sports
75,World
76,Sci/Tech
77,Business
78,Business
79,World
80,Sci/Tech
81,Business
82,World
83,World
84,Business
85,Sci/Tech
86,Sci/Tech
87,Business
88,Business
89,World
90,Sci/Tech
91,World
92,Sci/Tech
93,Business
94,Sports
95,Business
96,Sci/Tech
97,Sci/Tech
98,Sports
99,World
100,Sci/Tech
101,Sci/Tech
102,Sports
103,Business
104,Sci/Tech
105,Sci/Tech
106,Sci/Tech
107,Sports
108,Business
109,World
110,Sports
111,Business
112,Sci/Tech
113,World
114,Business
115,World
116,Sports
117,Business
118,Business
119,World
120,World
121,Sports
122,Sports
123,Sports
124,Sports
125,World
126,Business
127,World
128,Business
129,World
130,Sci/Tech
131,Business
132,Sci/Tech
133,Business
134,World
135,Sports
136,Sports
137,World
138,World
139,World
140,Sci/Tech
141,Business
142,Sports
143,Business
144,Sci/Tech
145,Sports
146,Business
147,Sci/Tech
148,Business
149,Sports
150,World
151,Business
152,World
153,World
154,World
155,Sports
156,Sports
157,Sci/Tech
158,Business
159,Sports
160,World
161,World
162,Sci/Tech
163,World
164,Business
165,Sports
166,Business
167,Business
168,Sports
169,Business
170,Business
171,Sci/Tech
172,Sports
173,World
174,Sports
175,Business
176,World
177,Sports
178,Sports
179,Business
180,Sci/Tech
181,Sports
182,Sci/Tech
183,World
184,World
185,Business
186,World
187,Sci/Tech
188,Sports
189,Sports
190,Business
191,World
192,Sci/Tech
193,Sports
194,Business
195,Sci/Tech
196,Sports
197,Sci/Tech
198,Sports
199,Sci/Tech
200,Business
201,World
202,Sci/Tech
203,Sports
204,Sci/Tech
205,Sports
206,Business
207,Sci/Tech
208,Sci/Tech
209,Sports
210,Sci/Tech
211,Sports
212,World
213,Sci/Tech
214,Sports
215,Sci/Tech
216,Business
217,Sci/Tech
218,World
219,Sci/Tech
220,World
221,World
222,Business
223,World
224,Business
225,Sci/Tech
226,World
227,World
228,World
229,Business
230,World
231,Sports
232,Sci/Tech
233,Sci/Tech
234,Sci/Tech
235,World
236,Business
237,Sports
238,Sci/Tech
239,Sports
240,World
241,Business
242,World
243,Sci/Tech
244,Business
245,Sci/Tech
246,World
247,Business
248,Sports
249,World
250,Business
251,Sci/Tech
252,Sci/Tech
253,Sci/Tech
254,Business
255,Sci/Tech
256,Sci/Tech
257,Sci/Tech
258,Sports
259,Sports
260,Sci/Tech
261,Sci/Tech
262,Business
263,Sci/Tech
264,Sports
265,Sports
266,Sports
267,Sports
268,World
269,Business
270,Business
271,Sci/Tech
272,Sports
273,Sports
274,World
275,Sports
276,Sci/Tech
277,Business
278,Business
279,World
280,World
281,Business
282,Sci/Tech
283,World
284,Sci/Tech
285,World
286,Sci/Tech
287,Sci/Tech
288,Sports
289,Business
290,Sports
291,Sci/Tech
292,Business
293,Business
294,Sports
295,World
296,Sports
297,Sports
298,Business
299,Sports
300,Sci/Tech
301,Sports
302,World
303,Business
304,Business
305,Sports
306,Business
307,Sports
308,Sports
309,Business
310,Sports
311,World
312,Sports
313,Business
314,Sports
315,World
316,Business
317,World
318,Sports
319,Sports
320,Business
321,Sci/Tech
322,Business
323,World
324,Business
325,Sports
326,World
327,World
328,Sci/Tech
329,Business
330,Business
331,Sci/Tech
332,Sports
333,World
334,World
335,World
336,Sci/Tech
337,Sports
338,Sports
339,Sports
340,Business
341,Business
342,World
343,Sci/Tech
344,Business
345,Sports
346,Business
347,Sci/Tech
348,Sci/Tech
349,Business
350,Business
351,Sports
352,Sports
353,World
354,Business
355,Business
356,Sci/Tech
357,World
358,Sci/Tech
359,World
360,World
361,Sci/Tech
362,World
363,Business
364,Sci/Tech
365,Sports
366,World
367,Business
368,Business
369,Business
370,World
371,Business
372,World
373,World
374,Business
375,Sci/Tech
376,World
377,Sports
378,Business
379,Business
380,Business
381,Sports
382,Sci/Tech
383,World
384,Sports
385,Sports
386,World
387,Sci/Tech
388,World
389,Sports
390,Sci/Tech
391,Sports
392,World
393,Sci/Tech
394,Sports
395,Sports
396,Sports
397,Sports
398,World
399,Business
400,Sports
401,World
402,World
403,World
404,Sci/Tech
405,Sports
406,Sports
407,Business
408,Sci/Tech
409,Sports
410,World
411,Business
412,World
413,World
414,Business
415,Business
416,Sci/Tech
417,Sci/Tech
418,Business
419,Business
420,Sci/Tech
421,Sports
422,World
423,Sports
424,Sci/Tech
425,Business
426,Sci/Tech
427,Sci/Tech
428,Sci/Tech
429,World
430,Sci/Tech
431,World
432,Sports
433,Business
434,Sci/Tech
435,World
436,Business
437,Sports
438,World
439,Business
440,Sci/Tech
441,World
442,Sports
443,Sci/Tech
444,Sports
445,Sci/Tech
446,Business
447,Sci/Tech
448,Sci/Tech
449,Sports
450,World
451,Sci/Tech
452,Business
453,Sci/Tech
454,World
455,Sci/Tech
456,Business
457,World
458,Business
459,Sports
460,Sports
461,Business
462,World
463,Sports
464,Business
465,Business
466,Sci/Tech
467,Sci/Tech
468,Sci/Tech
469,World
470,Sci/Tech
471,Business
472,Sci/Tech
473,Sports
474,Business
475,Business
476,Business
477,World
478,World
479,Sports
480,Business
481,World
482,World
483,Sci/Tech
484,Sports
485,Business
486,Sports
487,World
488,World
489,Sports
490,Sports
491,Sports
492,Business
493,Business
