id,label
1,positive
2,positive
3,negative
4,positive
5,negative
6,negative
7,positive
8,negative
9,positive
10,negative
11,negative
12,negative
13,positive
14,positive
15,negative
16,negative
17,negative
18,positive
19,negative
20,positive
21,positive
22,negative
23,negative
24,negative
25,positive
26,negative
27,negative
28,negative
29,negative
30,negative
31,negative
32,negative
33,negative
34,negative
35,negative
36,positive
37,negative
38,positive
39,positive
40,negative
41,negative
42,negative
43,negative
44,negative
45,negative
46,negative
47,positive
48,negative
49,negative
50,negative
51,negative
52,negative
53,negative
54,negative
55,positive
56,negative
57,negative
58,negative
59,negative
60,positive
61,positive
62,positive
63,positive
64,positive
65,negative
66,negative
67,negative
68,positive
69,negative
70,positive
71,positive
72,positive
73,negative
74,negative
75,negative
76,positive
77,negative
78,positive
79,positive
80,positive
81,negative
82,negative
83,positive
84,positive
85,positive
86,positive
87,positive
88,negative
89,negative
90,negative
91,negative
92,positive
93,positive
94,negative
95,positive
96,negative
97,positive
98,negative
99,negative
100,positive
101,positive
102,negative
103,negative
104,positive
105,negative
106,negative
107,negative
108,positive
109,positive
110,positive
111,negative
112,negative
113,negative
114,positive
115,positive
116,positive
117,positive
118,positive
119,negative
120,negative
121,positive
122,negative
123,negative
124,negative
125,positive
126,positive
127,positive
128,negative
129,negative
130,negative
131,positive
132,positive
133,negative
134,negative
135,positive
136,negative
137,positive
138,positive
139,negative
140,negative
141,positive
142,positive
143,positive
144,positive
145,positive
146,negative
147,positive
148,positive
149,negative
150,negative
151,positive
152,positive
153,positive
154,negative
155,negative
156,positive
157,positive
158,positive
159,negative
160,positive
161,positive
162,negative
163,positive
164,negative
165,positive
166,positive
167,positive
168,positive
169,negative
170,positive
171,positive
172,negative
173,negative
174,negative
175,positive
176,positive
177,negative
178,negative
179,negative
180,positive
181,negative
182,negative
183,negative
184,positive
185,positive
186,negative
187,negative
188,positive
189,negative
190,negative
191,negative
192,negative
193,positive
194,negative
195,negative
196,positive
197,negative
198,positive
199,negative
200,negative
201,negative
202,positive
203,negative
204,negative
205,negative
206,negative
207,negative
208,negative
209,positive
210,negative
211,positive
212,negative
213,positive
214,positive
215,negative
216,negative
217,positive
218,negative
219,positive
220,positive
221,positive
222,positive
223,positive
224,negative
225,negative
226,negative
227,positive
228,negative
229,negative
230,positive
231,positive
232,positive
233,negative
