id,language
1,Portuguese
2,Swahili
3,Spanish
4,Russian
5,German
6,Portuguese
7,Turkish
8,Spanish
9,Vietnamese
10,Arabic
11,Russian
12,Chinese
13,Bulgarian
14,Polish
15,Spanish
16,Russian
17,Hindi
18,Dutch
19,French
20,Arabic
21,Arabic
22,Spanish
23,Turkish
24,English
25,Russian
26,Spanish
27,Dutch
28,Japanese
29,English
30,Turkish
31,Urdu
32,Italian
33,English
34,Greek
35,Turkish
36,Russian
37,Spanish
38,French
39,Vietnamese
40,French
41,English
42,Bulgarian
43,French
44,Greek
45,Arabic
46,Arabic
47,Polish
48,Vietnamese
49,German
50,Russian
51,Portuguese
52,Polish
53,Bulgarian
54,Vietnamese
55,Portuguese
56,Russian
57,German
58,Thai
59,Turkish
60,French
61,Portuguese
62,German
63,Spanish
64,French
65,Vietnamese
66,Hindi
67,Japanese
68,English
69,Spanish
70,Italian
71,Polish
72,Polish
73,Swahili
74,Swahili
75,Vietnamese
76,English
77,Thai
78,German
79,Chinese
80,Dutch
81,Dutch
82,English
83,Spanish
84,Chinese
85,Japanese
86,French
87,Polish
88,Turkish
89,Arabic
90,Arabic
91,Japanese
92,Portuguese
93,Portuguese
94,Spanish
95,Greek
96,Swahili
97,Spanish
98,Thai
99,Spanish
100,Bulgarian
101,Arabic
102,Turkish
103,Portuguese
104,Japanese
105,English
106,Dutch
107,Italian
108,Swahili
109,English
110,Greek
111,Dutch
112,Dutch
113,German
114,Japanese
115,Dutch
116,English
117,Polish
118,Japanese
119,Greek
120,Vietnamese
121,Thai
122,Hindi
123,Chinese
124,Urdu
125,Polish
126,Urdu
127,Vietnamese
128,Spanish
129,Swahili
130,Arabic
131,Turkish
132,Vietnamese
133,French
134,Urdu
135,Turkish
136,French
137,Turkish
138,Hindi
139,Chinese
140,Russian
141,Spanish
142,Japanese
143,Italian
144,Portuguese
145,Arabic
146,Thai
147,Polish
148,Urdu
149,German
150,Arabic
151,English
152,Hindi
153,Swahili
154,Chinese
155,Dutch
156,Russian
157,Thai
158,Urdu
159,Urdu
160,Vietnamese
161,German
162,Urdu
163,Vietnamese
164,Greek
165,Italian
166,Swahili
167,Italian
168,Greek
169,Japanese
170,Thai
171,English
172,Hindi
173,Thai
174,Urdu
175,Thai
176,Japanese
177,German
178,German
179,Bulgarian
180,Japanese
181,Swahili
182,Thai
183,Greek
184,Japanese
185,Turkish
186,Japanese
187,Swahili
188,Turkish
189,Japanese
190,Italian
191,Italian
192,Bulgarian
193,Arabic
194,Turkish
195,French
196,Polish
197,Japanese
198,Russian
199,Swahili
200,Vietnamese
201,English
202,Polish
203,Polish
204,Arabic
205,Polish
206,Vietnamese
207,Spanish
208,English
209,Bulgarian
210,Dutch
211,German
212,Spanish
213,Russian
214,Greek
215,Vietnamese
216,Polish
217,Greek
218,Greek
219,Polish
220,Spanish
221,Arabic
222,Hindi
223,Arabic
224,Russian
225,Turkish
226,Greek
227,Italian
228,Thai
229,Bulgarian
230,Thai
231,Spanish
232,Arabic
233,Chinese
234,Russian
235,Russian
236,Portuguese
237,Polish
238,Hindi
239,Vietnamese
240,Hindi
241,Polish
242,English
243,Thai
244,Urdu
245,French
246,Japanese
247,Portuguese
248,Italian
249,Polish
250,Arabic
251,French
252,Hindi
253,Bulgarian
254,Turkish
255,Polish
256,Swahili
257,Arabic
258,Swahili
259,Dutch
260,French
261,Japanese
262,Chinese
263,Arabic
264,Chinese
265,Urdu
266,English
267,German
268,Turkish
269,English
270,Polish
271,Polish
272,Urdu
273,Polish
274,French
275,Bulgarian
276,Arabic
277,Hindi
278,English
279,Swahili
280,Urdu
281,Portuguese
282,Thai
283,Hindi
284,Bulgarian
285,Vietnamese
286,Polish
287,Polish
288,Swahili
289,French
290,English
291,Russian
292,Japanese
293,French
294,Japanese
295,Turkish
296,Hindi
297,Vietnamese
298,Hindi
299,Swahili
300,Urdu
301,Hindi
302,Greek
303,English
304,Vietnamese
305,Swahili
306,Swahili
307,Portuguese
308,Bulgarian
309,Urdu
310,Arabic
311,Polish
