id,text
1,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life "
2,spiffy animated feature 
3,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . "
4,a smile on your face 
5,"the plot is nothing but boilerplate clichés from start to finish , "
6,hide new secretions from the parental units 
7,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . "
8,oblivious to the existence of this film 
9,more than another `` best man '' clone by weaving a theme throughout this funny film 
10,many pointless 
11,"as they come , already having been recycled more times than i 'd care to count "
12,"comes from the brave , uninhibited performances "
13,a depressed fifteen-year-old 's suicidal poetry 
14,goes to absurd lengths 
15,sometimes dry 
16,funny yet 
17,"acted and directed , it 's clear that washington most certainly has a new career ahead of him "
18,to the dustbin of history 
19,disappointments 
20,well-rounded tribute 
21,seem fresh 
22,cross swords with the best of them and 
23,film to affirm love 's power to help people endure almost unimaginable horror 
24,contains very few laughs and even less surprises 
25,a doa 
26,in memory 
27,no apparent joy 
28,starts with a legend 
29,we never feel anything for these characters 
30,are an absolute joy 
31,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . "
32,rich and sudden wisdom 
33,saw how bad this movie was 
34,excruciatingly unfunny and pitifully unromantic 
35,a $ 40 million version of a game 
36,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world "
37,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 
38,remains utterly satisfied to remain the same throughout 
39,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' 
40,in world cinema 
41,based on a true and historically significant story 
42,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . 
43,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . "
44,fashioning an engrossing entertainment out 
45,sharply 
46,the action is stilted 
47,cold movie 
48,lend some dignity to a dumb story 
49,equals the original and in some ways even betters it 
50,generates 
51,strung-together moments 
52,it 's robert duvall ! 
53,of saucy 
54,"contains no wit , only labored gags "
55,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline 
56,so much like a young robert deniro 
57,"the part where nothing 's happening , "
58,by far the worst movie of the year 
59,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . "
60,redundant concept 
61,a beautifully 
62,with his usual intelligence and subtlety 
63,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . "
64,"will find little of interest in this film , which is often preachy and poorly acted "
65,far less sophisticated and 
66,"covers this territory with wit and originality , suggesting that with his fourth feature "
67,"contrived , well-worn situations "
68,", generous and subversive artworks "
69,of the most highly-praised disappointments i 
70,gorgeous and deceptively minimalist 
71,that loves its characters and communicates something rather beautiful about human nature 
72,"skip this dreck , "
73,for those moviegoers who complain that ` they do n't make movies like they used to anymore 
74,"as a director , eastwood is off his game "
75,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 
76,the corporate circus that is the recording industry in the current climate of mergers and downsizing 
77,to be as subtle and touching as the son 's room 
78,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . "
79,shot on ugly digital video 
80,the horrors 
81,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening "
82,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . "
83,rich veins of funny stuff in this movie 
84,'s a lousy one at that 
85,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . "
86,the greatest musicians 
87,that 's far too tragic to merit such superficial treatment 
88,as a fringe feminist conspiracy theorist 
89,enriched by an imaginatively mixed cast of antic spirits 
90,"sit through , "
91,"though ford and neeson capably hold our interest , but its just not a thrilling movie "
92,very good viewing alternative 
93,heroes 
94,is pretty damned funny . 
95,pays earnest homage to turntablists 
96,", like life , is n't much fun without the highs and lows "
97,weak and 
98,are more deeply thought through than in most ` right-thinking ' films 
99,on all cylinders 
100,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . 
